videoName,startTime,stopTime,playerName
Week1,00:01:30,00:01:45,Alice Johnson
Week1,00:03:20,00:03:35,Alice Johnson
Week1,00:02:15,00:02:30,Bob Smith
Week1,00:05:45,00:06:00,Charlie Davis
Week2,00:01:00,00:01:15,Alice Johnson
Week2,00:04:30,00:04:45,Bob Smith
Week2,00:07:20,00:07:35,Bob Smith
Week2,00:09:10,00:09:25,Charlie Davis
Week3,00:02:00,00:02:15,Alice Johnson
Week3,00:03:45,00:04:00,Alice Johnson
Week3,00:06:30,00:06:45,Bob Smith
Week3,00:08:00,00:08:15,Charlie Davis
Week3,00:10:20,00:10:35,Charlie Davis
